,img_name,Threshold_type,Threshold_function,EKI,SSIM,MSE,PSNR
0,malignant(27),VisuShrink,Soft_thresholding,0.998164381852102,0.9471969383515272,0.0012358591778183,29.080310128885426
1,malignant(27),BayesShrink,Soft_thresholding,0.998164381852102,0.9471969383515272,0.0012358591778183,29.080310128885426
2,malignant(27),thresholding_fct,Soft_thresholding,0.998164381852102,0.9471969383515272,0.0012358591778183,29.080310128885426
3,malignant(27),VisuShrink,Hard_thresholding,0.9987742139655506,0.9930750814850916,0.0008436244405896,30.738508468326792
4,malignant(27),BayesShrink,Hard_thresholding,0.9987742139655506,0.9930750814850916,0.0008436244405896,30.738508468326792
5,malignant(27),thresholding_fct,Hard_thresholding,0.9987742139655506,0.9930750814850916,0.0008436244405896,30.738508468326792
6,malignant(27),VisuShrink,XT,0.9987742139655506,0.9930750814850916,0.0008436244405896,30.738508468326792
7,malignant(27),BayesShrink,XT,0.9987742139655506,0.9930750814850916,0.0008436244405896,30.738508468326792
8,malignant(27),thresholding_fct,XT,0.9987742139655506,0.9930750814850916,0.0008436244405896,30.738508468326792
9,malignant(9),VisuShrink,Soft_thresholding,0.9970051431933404,0.9295940183468764,0.0010392635711928,29.83274295562981
10,malignant(9),BayesShrink,Soft_thresholding,0.9970051431933404,0.9295940183468764,0.0010392635711928,29.83274295562981
11,malignant(9),thresholding_fct,Soft_thresholding,0.9970051431933404,0.9295940183468764,0.0010392635711928,29.83274295562981
12,malignant(9),VisuShrink,Hard_thresholding,0.9980444945805372,0.992269373766146,0.0007599110295511,31.19237251978231
13,malignant(9),BayesShrink,Hard_thresholding,0.9980444945805372,0.992269373766146,0.0007599110295511,31.19237251978231
14,malignant(9),thresholding_fct,Hard_thresholding,0.9980444945805372,0.992269373766146,0.0007599110295511,31.19237251978231
15,malignant(9),VisuShrink,XT,0.9980444945805372,0.992269373766146,0.0007599110295511,31.19237251978231
16,malignant(9),BayesShrink,XT,0.9980444945805372,0.992269373766146,0.0007599110295511,31.19237251978231
17,malignant(9),thresholding_fct,XT,0.9980444945805372,0.992269373766146,0.0007599110295511,31.19237251978231
18,malignant(54),VisuShrink,Soft_thresholding,0.9960091498817428,0.962491510960632,0.0006214611237432,32.06586033992324
19,malignant(54),BayesShrink,Soft_thresholding,0.9960091498817428,0.962491510960632,0.0006214611237432,32.06586033992324
20,malignant(54),thresholding_fct,Soft_thresholding,0.9960091498817428,0.962491510960632,0.0006214611237432,32.06586033992324
21,malignant(54),VisuShrink,Hard_thresholding,0.997662404528212,0.9948216249076314,0.0004873645684743,33.121460473207634
22,malignant(54),BayesShrink,Hard_thresholding,0.997662404528212,0.9948216249076314,0.0004873645684743,33.121460473207634
23,malignant(54),thresholding_fct,Hard_thresholding,0.997662404528212,0.9948216249076314,0.0004873645684743,33.121460473207634
24,malignant(54),VisuShrink,XT,0.997662404528212,0.9948216249076314,0.0004873645684743,33.121460473207634
25,malignant(54),BayesShrink,XT,0.997662404528212,0.9948216249076314,0.0004873645684743,33.121460473207634
26,malignant(54),thresholding_fct,XT,0.997662404528212,0.9948216249076314,0.0004873645684743,33.121460473207634
27,malignant(19),VisuShrink,Soft_thresholding,0.997802054659768,0.9464005364838296,0.0010244107707324,29.89525863974536
28,malignant(19),BayesShrink,Soft_thresholding,0.997802054659768,0.9464005364838296,0.0010244107707324,29.89525863974536
29,malignant(19),thresholding_fct,Soft_thresholding,0.997802054659768,0.9464005364838296,0.0010244107707324,29.89525863974536
30,malignant(19),VisuShrink,Hard_thresholding,0.9984973583720848,0.992126099999043,0.0007663519705492,31.15571721543099
31,malignant(19),BayesShrink,Hard_thresholding,0.9984973583720848,0.992126099999043,0.0007663519705492,31.15571721543099
32,malignant(19),thresholding_fct,Hard_thresholding,0.9984973583720848,0.992126099999043,0.0007663519705492,31.15571721543099
33,malignant(19),VisuShrink,XT,0.9984973583720848,0.992126099999043,0.0007663519705492,31.15571721543099
34,malignant(19),BayesShrink,XT,0.9984973583720848,0.992126099999043,0.0007663519705492,31.15571721543099
35,malignant(19),thresholding_fct,XT,0.9984973583720848,0.992126099999043,0.0007663519705492,31.15571721543099
36,malignant(58),VisuShrink,Soft_thresholding,0.9997304232624276,0.9616707462947734,0.0007208016881939,31.421842048641256
37,malignant(58),BayesShrink,Soft_thresholding,0.9997304232624276,0.9616707462947734,0.0007208016881939,31.421842048641256
38,malignant(58),thresholding_fct,Soft_thresholding,0.9997304232624276,0.9616707462947734,0.0007208016881939,31.421842048641256
39,malignant(58),VisuShrink,Hard_thresholding,0.999780038450764,0.9899936258924924,0.0006132914198106,32.123331112214174
40,malignant(58),BayesShrink,Hard_thresholding,0.999780038450764,0.9899936258924924,0.0006132914198106,32.123331112214174
41,malignant(58),thresholding_fct,Hard_thresholding,0.999780038450764,0.9899936258924924,0.0006132914198106,32.123331112214174
42,malignant(58),VisuShrink,XT,0.999780038450764,0.9899936258924924,0.0006132914198106,32.123331112214174
